react-dom_client.js?v=bca24845:14337 Download the React DevTools for a better development experience: https://react.dev/link/react-devtools
MessageBubble.tsx:27 [CHAT] Imagem carregada para msg: user_1779683871875_l942ahg7k
App.tsx:13 [HADES RENDERER] Window mounted: chat
App.tsx:17 [HADES RENDERER] Location: http://localhost:3000/?window=chat
App.tsx:18 [HADES RENDERER] Document visibilityState: visible
App.tsx:13 [HADES RENDERER] Window mounted: chat
App.tsx:17 [HADES RENDERER] Location: http://localhost:3000/?window=chat
App.tsx:18 [HADES RENDERER] Document visibilityState: visible
useWindowControl.ts:56 [RESIZE_START] Started resizing at 37258.60ms. Initial size: 480x490
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 154 | Latency: 18.70ms | New Size: 578x512 | EventX/Y: 1543/621
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 155 | Latency: 17.80ms | New Size: 587x501 | EventX/Y: 1552/610
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 156 | Latency: 17.60ms | New Size: 598x494 | EventX/Y: 1563/603
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 157 | Latency: 16.10ms | New Size: 607x490 | EventX/Y: 1572/599
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 158 | Latency: 17.20ms | New Size: 613x490 | EventX/Y: 1578/599
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 159 | Latency: 17.00ms | New Size: 616x491 | EventX/Y: 1581/600
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 160 | Latency: 17.30ms | New Size: 621x503 | EventX/Y: 1586/612
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 161 | Latency: 16.30ms | New Size: 623x518 | EventX/Y: 1588/627
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 162 | Latency: 16.60ms | New Size: 625x529 | EventX/Y: 1590/638
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 163 | Latency: 17.80ms | New Size: 625x534 | EventX/Y: 1590/643
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 164 | Latency: 50.00ms | New Size: 625x533 | EventX/Y: 1590/642
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 165 | Latency: 16.70ms | New Size: 623x521 | EventX/Y: 1588/630
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 166 | Latency: 18.80ms | New Size: 614x498 | EventX/Y: 1579/607
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 167 | Latency: 16.60ms | New Size: 599x463 | EventX/Y: 1564/572
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 168 | Latency: 16.50ms | New Size: 586x432 | EventX/Y: 1551/541
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 169 | Latency: 16.50ms | New Size: 572x404 | EventX/Y: 1537/513
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 170 | Latency: 16.20ms | New Size: 563x400 | EventX/Y: 1528/496
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 171 | Latency: 18.30ms | New Size: 557x400 | EventX/Y: 1522/484
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 172 | Latency: 21.20ms | New Size: 555x400 | EventX/Y: 1520/478
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 173 | Latency: 70.70ms | New Size: 554x400 | EventX/Y: 1519/478
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 174 | Latency: 17.90ms | New Size: 554x400 | EventX/Y: 1519/484
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 175 | Latency: 17.90ms | New Size: 554x400 | EventX/Y: 1519/496
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 176 | Latency: 19.30ms | New Size: 554x406 | EventX/Y: 1519/515
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 177 | Latency: 16.80ms | New Size: 558x434 | EventX/Y: 1523/543
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 178 | Latency: 17.90ms | New Size: 571x474 | EventX/Y: 1536/583
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 179 | Latency: 19.30ms | New Size: 585x513 | EventX/Y: 1550/622
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 180 | Latency: 16.30ms | New Size: 601x545 | EventX/Y: 1566/654
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 181 | Latency: 16.40ms | New Size: 618x569 | EventX/Y: 1583/678
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 182 | Latency: 16.40ms | New Size: 634x587 | EventX/Y: 1599/696
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 183 | Latency: 17.30ms | New Size: 651x601 | EventX/Y: 1616/710
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 184 | Latency: 17.00ms | New Size: 664x610 | EventX/Y: 1629/719
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 185 | Latency: 18.00ms | New Size: 678x616 | EventX/Y: 1643/725
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 186 | Latency: 17.70ms | New Size: 693x618 | EventX/Y: 1658/727
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 187 | Latency: 17.50ms | New Size: 705x618 | EventX/Y: 1670/727
